dataset,model,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score,fit_seconds,fit_peak_memory_mb,predict_seconds,predict_peak_memory_mb,best_threshold,min_expected_cost,cost_at_naive_0.5_threshold,calibration_predicted,calibration_observed,fairness_protected_attribute,fairness_privileged_group,fairness_unprivileged_group,fairness_selection_rate_privileged,fairness_selection_rate_unprivileged,fairness_disparate_impact_ratio,fairness_equalized_odds_gap
cd1,xgboost,0.7403927620430888,0.1554301320298385,0.2171226590871811,0.05785900726914406,0.024691358024691357,0.043478260869565216,0.39724297598877456,0.025045394897460938,0.007572167000034824,0.024890899658203125,0.34,0.29042145593869734,0.3095785440613027,"[0.0035054209066256313, 0.006779130154217665, 0.01229696589315893, 0.01894956626571142, 0.02843116263624366, 0.04091011666907714, 0.05706111582425925, 0.0849946076974614, 0.1391276812324157, 0.30207992134658435]","[0.0, 0.007692307692307693, 0.03816793893129771, 0.023076923076923078, 0.030534351145038167, 0.046153846153846156, 0.1, 0.08396946564885496, 0.13076923076923078, 0.16030534351145037]",gender,male,female,0.9828042328042328,0.9508196721311475,0.967455817134788,0.07456140350877193
cd1,lightgbm,0.7406096183329299,0.15876920660615534,0.21439462642807258,0.05683154790706048,0.024691358024691357,0.045454545454545456,0.16728362999856472,1.4823074340820312,0.008613450001575984,0.042278289794921875,0.28,0.29272030651340997,0.3065134099616858,"[0.007068073688765777, 0.010702219950325198, 0.015742027377997406, 0.0221683592123513, 0.029279800286736143, 0.04037979671572341, 0.057806187608046046, 0.08259402249212709, 0.13079469580300768, 0.2854756882554551]","[0.0, 0.023076923076923078, 0.015267175572519083, 0.046153846153846156, 0.022900763358778626, 0.07692307692307693, 0.046153846153846156, 0.08396946564885496, 0.13076923076923078, 0.17557251908396945]",gender,male,female,0.9814814814814815,0.9253187613843351,0.9427776059387565,0.16885964912280702
cd2,xgboost,0.7787023495477736,0.5387682154301878,0.42869099974632263,0.13458764553070068,0.3454081632653061,0.45558546433378194,0.534741480005323,0.14830589294433594,0.015353370006778277,0.14225006103515625,0.14,0.5516666666666666,0.75,"[0.059510682796438535, 0.08245776744352447, 0.09855564383169015, 0.11411575891905361, 0.1350789050426748, 0.1585821145772934, 0.1945943777428733, 0.2659641089042028, 0.4120162317156792, 0.6866720206869973]","[0.03666666666666667, 0.07222222222222222, 0.08222222222222222, 0.11888888888888889, 0.1411111111111111, 0.17666666666666667, 0.19333333333333333, 0.2588888888888889, 0.4033333333333333, 0.6944444444444444]",gender,female,male,0.5012991833704529,0.43133997785160577,0.8604442060956875,0.06305001669994675
cd2,lightgbm,0.7776218981910945,0.5380431030065821,0.42881387133994114,0.13462383974224812,0.3494897959183674,0.458040789033768,0.8048411099880468,2.8246850967407227,0.07932644999527838,0.2769508361816406,0.16,0.5524444444444444,0.7467777777777778,"[0.05079205876162099, 0.07525777844202672, 0.09397886992783874, 0.11147231877367528, 0.13168288440173923, 0.1556375902505272, 0.19672494431855603, 0.2693012164737105, 0.4119983901582961, 0.7112079920200047]","[0.03888888888888889, 0.07111111111111111, 0.08444444444444445, 0.12444444444444444, 0.13666666666666666, 0.17333333333333334, 0.19333333333333333, 0.2511111111111111, 0.4222222222222222, 0.6822222222222222]",gender,female,male,0.5970675575352635,0.520764119601329,0.8722030078992727,0.07218495945875425
ld1,xgboost,0.9094213729687071,0.7823355417529673,0.18977873027324677,0.037988848984241486,0.5494505494505495,0.6896551724137931,0.6107014020089991,0.020215988159179688,0.005460770989884622,0.02028656005859375,0.060000000000000005,0.14653465346534653,0.20693069306930692,"[8.178386287841697e-06, 3.8664864207183396e-05, 0.00010155494504096448, 0.0002278591441924195, 0.0005103117327602341, 0.0010810450536641522, 0.002084927088212185, 0.004931758831043054, 0.020484731864589868, 0.5936861842280567]","[0.0, 0.019801980198019802, 0.0297029702970297, 0.019801980198019802, 0.0, 0.0297029702970297, 0.019801980198019802, 0.019801980198019802, 0.09900990099009901, 0.6633663366336634]",,,,,,,
ld1,lightgbm,0.912063996938861,0.7770008013993711,0.3859742053576045,0.043859968713728534,0.5164835164835165,0.6666666666666666,0.45226310699945316,3.738287925720215,0.01379363400337752,0.033191680908203125,0.01,0.16930693069306932,0.2207920792079208,"[5.555304386464045e-10, 4.918023413606857e-09, 2.01940688405912e-08, 6.202784813701824e-08, 2.2048336707286861e-07, 6.778776143035385e-07, 2.336969770263411e-06, 9.193380651275384e-06, 0.00015698746920793613, 0.4946171960470689]","[0.0, 0.0, 0.0297029702970297, 0.019801980198019802, 0.019801980198019802, 0.019801980198019802, 0.0297029702970297, 0.06930693069306931, 0.019801980198019802, 0.693069306930693]",,,,,,,
ld2,xgboost,0.9470036428752493,0.9023217366205708,0.19215327501296997,0.053789980709552765,0.7213638785295685,0.8241022519780888,0.761599263001699,0.1416454315185547,0.02552568599639926,0.13592529296875,0.19,0.24755586592178772,0.31075418994413406,"[0.0010540330621446375, 0.005252669340680431, 0.013282755488471255, 0.023831372282644505, 0.03886614267403158, 0.06362643991016953, 0.10472705920375407, 0.19386590489894326, 0.6880014708419617, 0.993701006922611]","[0.0, 0.004656577415599534, 0.025611175785797437, 0.017462165308498253, 0.05820721769499418, 0.06053550640279395, 0.11757857974388825, 0.18975552968568102, 0.710128055878929, 1.0]",,,,,,,
ld2,lightgbm,0.94824237120514,0.9041824364379144,0.19612427628494708,0.05377439484278141,0.7416089504528502,0.828818100625186,1.527226022008108,9.056662559509277,0.24379396699077915,0.2645225524902344,0.11,0.24185288640595903,0.2927141527001862,"[8.262876828394777e-05, 0.0009268882720962716, 0.003791918763453376, 0.009482027843523628, 0.019245445607327605, 0.03647103581487785, 0.07212474472864255, 0.17443188211914476, 0.7329215592668975, 0.998173562496987]","[0.0, 0.009313154831199068, 0.011641443538998836, 0.02910360884749709, 0.046565774155995346, 0.08149010477299184, 0.08963911525029103, 0.19441210710128057, 0.7217694994179278, 1.0]",,,,,,,
ld3,xgboost,0.6650698743468676,0.3482202032861713,0.49814265966415405,0.16189949214458466,0.019697172718745812,0.037986950061373474,10.971882628000458,1.0877819061279297,0.4644624149950687,1.0369949340820312,0.16,0.6720376064333018,1.085309247871334,"[0.07146336100940473, 0.10857391363479257, 0.1364377705921355, 0.16334440644405285, 0.19049675578068384, 0.21822262723315494, 0.2477305622574213, 0.2808710313821315, 0.3237626256761248, 0.41284134850093196]","[0.07553584626755358, 0.11293422025129342, 0.13762010347376202, 0.16986989946777056, 0.19940872135994087, 0.21433850702143384, 0.2610881135422827, 0.2953436807095344, 0.32609016999260904, 0.41419068736141906]",,,,,,,
ld3,lightgbm,0.6635382982383311,0.3438569655319536,0.4988290914723157,0.16219294510163337,0.017821251507436686,0.0344648872764965,4.78300350200152,6.849818229675293,0.8986037830036366,2.0665550231933594,0.16,0.6744914853358562,1.0871570482497634,"[0.07265809794725779, 0.11097131628683628, 0.1382653844151801, 0.1650290441576748, 0.192272084471674, 0.2197887140970735, 0.24910768695440882, 0.2813746647659547, 0.32096503730293535, 0.4071913018484336]","[0.0762749445676275, 0.11337767923133776, 0.1352549889135255, 0.17445298639858073, 0.1902439024390244, 0.2255728011825573, 0.2675931401537552, 0.28780487804878047, 0.33348115299334813, 0.4023651145602365]",,,,,,,
cf1,xgboost,0.9067892844238743,0.44872986279506405,0.02808980830013752,0.006919304374605417,0.0,0.0,0.1551369859953411,0.04476737976074219,0.0033887839963426813,0.043670654296875,0.14,0.02,0.045098039215686274,"[0.0005068544996902347, 0.000531765164197944, 0.0005723066579472895, 0.0006320635208348725, 0.0007030376660322228, 0.0008120862700642769, 0.0010254485976020078, 0.001653788302379741, 0.00440775156568955, 0.05598179775783244]","[0.007462686567164179, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00392156862745098, 0.0784313725490196]",,,,,,,
cf1,lightgbm,0.9460263932141566,0.686014972461069,0.029031263716113916,0.005098401403520427,0.43478260869565216,0.6060606060606061,0.5414917829912156,2.279160499572754,0.020708836003905162,0.08010482788085938,0.02,0.01764705882352941,0.025490196078431372,"[1.9976404323832014e-05, 2.409816251992325e-05, 2.848021903297753e-05, 3.431743192636823e-05, 4.1086265990376574e-05, 4.9947982196561206e-05, 6.397467313690003e-05, 8.943318143843212e-05, 0.000151788454287854, 0.04085571370003146]","[0.0, 0.0, 0.00392156862745098, 0.0, 0.0, 0.0, 0.00392156862745098, 0.0, 0.0, 0.08235294117647059]",,,,,,,
cf2,xgboost,0.7171874173936029,0.1486706923712574,0.2484273761510849,0.05648105964064598,0.0,0.0,9.431105587005732,0.04527091979980469,0.024370528990402818,0.0441436767578125,0.06999999999999999,0.2836110034870205,0.3029833397907788,"[0.0006423769855000255, 0.0015368239666234212, 0.002686460502445698, 0.004070468944526284, 0.006104207391915626, 0.009058830589994557, 0.013681709282677765, 0.02126641848752665, 0.040777282450030476, 0.13213592903443086]","[0.011583011583011582, 0.031007751937984496, 0.01937984496124031, 0.03875968992248062, 0.046511627906976744, 0.031007751937984496, 0.050387596899224806, 0.09302325581395349, 0.09302325581395349, 0.18992248062015504]",gender,male,female,0.8859315589353612,0.943127962085308,1.0645607469031588,0.11582435791217896
cf2,lightgbm,0.730111022997621,0.16145522192137873,0.21208503734846781,0.05443884413693132,0.0,0.0,0.9195123440003954,3.0992517471313477,0.02789966799900867,0.08091354370117188,0.12,0.2750871755133669,0.3029833397907788,"[0.005930281474973312, 0.010319980599244088, 0.014411905721787513, 0.01870222917205219, 0.024190416699408062, 0.030537808975155144, 0.03977146566679399, 0.05303293730239726, 0.077009091548478, 0.17113253218023994]","[0.019305019305019305, 0.011627906976744186, 0.01937984496124031, 0.03488372093023256, 0.046511627906976744, 0.04263565891472868, 0.05813953488372093, 0.06201550387596899, 0.11627906976744186, 0.1937984496124031]",gender,male,female,0.9079847908745247,0.9518167456556083,1.0482738865470058,0.08053024026512015
cc1,xgboost,0.6554759262149616,0.35396816111947216,0.5057175755500793,0.16523084044456482,0.087248322147651,0.14857142857142858,0.8556130270007998,0.03589439392089844,0.03474534599808976,0.035205841064453125,0.14,0.6671679197994987,1.0421052631578946,"[0.08216318145394325, 0.11793038413752263, 0.14847818985581399, 0.17708157025389934, 0.2053142438083887, 0.23338233346316084, 0.2629546828605422, 0.2992830003798008, 0.3562019683008817, 0.49599141627550125]","[0.07, 0.08542713567839195, 0.19, 0.21105527638190955, 0.225, 0.21105527638190955, 0.20603015075376885, 0.315, 0.32663316582914576, 0.4]",gender,male,female,0.2587476979742173,0.18041804180418042,0.6972739978624197,0.08535109471136348
cc1,lightgbm,0.6586004023377209,0.3592112704845117,0.50358686244584,0.16393771822151718,0.03131991051454139,0.05907172995780591,0.14667061201180331,1.8206558227539062,0.010858342997380532,0.06313705444335938,0.17,0.6721804511278195,1.0917293233082708,"[0.09848309188907202, 0.13373666498448547, 0.16115840898935496, 0.1922072687729675, 0.2196497711274362, 0.24235220680596692, 0.26314839276434665, 0.2897682896819314, 0.333228491093207, 0.4435323793919633]","[0.08, 0.10050251256281408, 0.165, 0.22613065326633167, 0.165, 0.23115577889447236, 0.2663316582914573, 0.245, 0.33668341708542715, 0.425]",gender,male,female,0.32228360957642727,0.23872387238723872,0.7407260726072606,0.08355023425299324
cc2,xgboost,0.8643518098521275,0.7030407154290713,0.32495760917663574,0.09753131866455078,0.488013698630137,0.59436913451512,0.4608743709977716,0.05200004577636719,0.011220341999433003,0.050537109375,0.24000000000000002,0.38133333333333336,0.5283333333333333,"[0.015037950137630105, 0.026429792599131665, 0.04016794176151355, 0.05731649751464526, 0.08271776894728343, 0.11820935015877088, 0.17253485704461732, 0.26264443397521975, 0.43185034473737083, 0.7829701860745748]","[0.006666666666666667, 0.04, 0.023333333333333334, 0.08333333333333333, 0.07, 0.1, 0.14333333333333334, 0.23666666666666666, 0.4266666666666667, 0.8166666666666667]",gender,male,female,0.7852760736196319,0.6642335766423357,0.8458599452554744,0.07768924997993291
cc2,lightgbm,0.8696170790619614,0.7127527923149345,0.31903150113292467,0.09585970309513134,0.4914383561643836,0.6010471204188481,0.4400483679928584,3.2008914947509766,0.033133229007944465,0.09372520446777344,0.2,0.36466666666666664,0.523,"[0.015301396932182729, 0.026601195938188327, 0.03878089458954313, 0.0546158280634973, 0.07634163708289377, 0.10988185166501686, 0.1625091679293149, 0.25652626262373135, 0.43350362873087184, 0.7960183404497142]","[0.006666666666666667, 0.03, 0.04666666666666667, 0.05, 0.07333333333333333, 0.12666666666666668, 0.1, 0.2633333333333333, 0.4166666666666667, 0.8333333333333334]",gender,male,female,0.7503067484662577,0.6416058394160584,0.8551247082977721,0.06569158125071978
cc3,xgboost,0.8627344708375154,0.70012368926523,0.4028376340866089,0.1315540075302124,0.5731292517006803,0.6223453370267775,0.6371590049966471,0.03778648376464844,0.008623317000456154,0.037006378173828125,0.11,0.38428774254614295,0.6687174633222905,"[0.006400359359038291, 0.01778657003901722, 0.03601532417980698, 0.07260712057846418, 0.13568205864361996, 0.23384652488039567, 0.3554879434018339, 0.485209134658931, 0.6276289108805182, 0.7913645654916763]","[0.009433962264150943, 0.023696682464454975, 0.023696682464454975, 0.061611374407582936, 0.16981132075471697, 0.27014218009478674, 0.32701421800947866, 0.5118483412322274, 0.5829383886255924, 0.8018867924528302]",gender,male,female,0.44517958412098296,0.3886255924170616,0.8729636449623168,0.05936046351600566
cc3,lightgbm,0.86689193710271,0.709548133556992,0.3976134482603247,0.12938518481878117,0.5867346938775511,0.6330275229357798,0.31284740001137834,2.475417137145996,0.030061291996389627,0.06663131713867188,0.19,0.38760056791292,0.6493137718883104,"[0.007561722802483461, 0.01764388351969492, 0.036676099327717315, 0.07489813958208945, 0.14232863879922916, 0.23726973585034875, 0.354372019094486, 0.4832417342212389, 0.6188298264427685, 0.776234637270457]","[0.0047169811320754715, 0.018957345971563982, 0.02843601895734597, 0.07582938388625593, 0.1509433962264151, 0.2559241706161137, 0.2985781990521327, 0.5118483412322274, 0.6445497630331753, 0.7924528301886793]",gender,male,female,0.5226843100189036,0.48056872037914694,0.9194244234378616,0.03569954033745287
cd1,logreg,0.7402767691438714,0.16285909064718204,0.2113269089874843,0.0556097615506184,0.0,0.0,0.034436429996276274,0.7527542114257812,0.006586199990124442,0.36389732360839844,0.15000000000000002,0.281992337164751,0.3111111111111111,"[0.008990422964948529, 0.01731652591227441, 0.025210342828491557, 0.03362031963360727, 0.04328303807293691, 0.05497765573877498, 0.07007394249275167, 0.08886970127688297, 0.12292334983637042, 0.22413858168492987]","[0.007633587786259542, 0.023076923076923078, 0.03816793893129771, 0.03076923076923077, 0.007633587786259542, 0.05384615384615385, 0.06153846153846154, 0.06870229007633588, 0.11538461538461539, 0.21374045801526717]",gender,male,female,0.9431216931216931,0.8506375227686703,0.9019382429356448,0.23684210526315788
cd2,logreg,0.761757595083488,0.5214701339626422,0.4396249050696978,0.13760984281361993,0.33877551020408164,0.44623655913978494,43.960889934998704,23.969730377197266,0.03447872499236837,11.418553352355957,0.16,0.5706666666666667,0.7591111111111111,"[0.06455476296415964, 0.10217890095582602, 0.11838804341452158, 0.13106582457858115, 0.14252911352529507, 0.155996847665275, 0.17483794082162854, 0.2231936763812049, 0.3766351687450914, 0.7204560796171537]","[0.05444444444444444, 0.09888888888888889, 0.10111111111111111, 0.10333333333333333, 0.1388888888888889, 0.15222222222222223, 0.19111111111111112, 0.2577777777777778, 0.40555555555555556, 0.6744444444444444]",gender,female,male,0.6429101707498144,0.48172757475083056,0.749292197678255,0.16684367454311538
ld1,logreg,0.8129237465472503,0.5246268633777049,0.22266278714337823,0.05920970033892743,0.25274725274725274,0.39316239316239315,0.21024695599044207,0.6841335296630859,0.007043692996376194,0.3612709045410156,0.17,0.26831683168316833,0.33960396039603963,"[0.011342238610178695, 0.021876773201008736, 0.030796128345487818, 0.03850765522687276, 0.04778695522319076, 0.05934790786040571, 0.07443479690473996, 0.09580490764241961, 0.1314461228228331, 0.39099261813576386]","[0.009900990099009901, 0.0297029702970297, 0.009900990099009901, 0.0297029702970297, 0.039603960396039604, 0.0594059405940594, 0.0891089108910891, 0.0891089108910891, 0.07920792079207921, 0.46534653465346537]",,,,,,,
ld2,logreg,0.866816353943235,0.7182645230663495,0.34434418811388395,0.10374109913230652,0.5380927011188066,0.6298721546616776,10.543387886995333,8.084190368652344,0.018815763003658503,3.8551712036132812,0.26,0.3898975791433892,0.5417830540037244,"[0.010185747353602613, 0.02304236534287462, 0.03728512976011955, 0.056462892615555156, 0.0838056606756882, 0.12206869574851281, 0.18420559799566066, 0.3001978281674346, 0.5157027560850556, 0.8214284648108315]","[0.013953488372093023, 0.03841676367869616, 0.051222351571594875, 0.09313154831199069, 0.0779976717112922, 0.08498253783469151, 0.16181606519208383, 0.27357392316647267, 0.5424912689173458, 0.8465116279069768]",,,,,,,
