dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
ld2,xgboost,0.2,0.8039129867332377,0.5313753541548133,0.9357349195097512,0.2289189304986493,0.7671816728822589,0.5517241379310345
ld2,xgboost,0.5,0.6842459034017228,0.3700082625020179,2.1291998306907636,0.47428061477910544,0.8763985082578583,0.4155614500442087
ld2,lightgbm,0.0,0.9451284527082753,0.8983220494375033,0.19467392760681118,0.05482593446288121,0.7165689930740543,0.8226299694189603
ld2,lightgbm,0.05,0.9253524361802611,0.8477171495599782,0.26579903743757255,0.07473926522624676,0.6824720298348428,0.7661483253588517
ld2,lightgbm,0.2,0.8678140487327293,0.7138321994609054,0.4399570109223792,0.12512938470900983,0.6020245071923281,0.6353668822041045
ld2,lightgbm,0.5,0.7249758510257216,0.4725542578712558,0.6528389568515937,0.19265260839807075,0.4251465103889185,0.4430871737923376
ld2,logreg,0.0,0.8667832693526013,0.7201273547197197,0.34377330066847755,0.10342536352012524,0.5418220564730953,0.6324626865671642
ld2,logreg,0.05,0.8545235640434765,0.6976877847585479,0.35764391014763985,0.10794911808998099,0.5119872136387853,0.6095781795115762
ld2,logreg,0.2,0.818691127577593,0.6435772410784897,0.39323165819415923,0.11872151351611071,0.44379328716036226,0.5549633577614923
ld2,logreg,0.5,0.7405893182789189,0.5290286368593157,0.46309338109862547,0.14139741440940498,0.28875865743207246,0.41310975609756095
ld3,sap_rpt,0.0,0.6234929667797092,0.30573378452155686,0.5131568918084716,0.16708299974996102,6.699718611818304e-05,0.00013398539559188047
ld3,sap_rpt,0.05,0.6160813201480757,0.2987127166942875,0.5135255526441412,0.1671781715954035,0.0,0.0
ld3,sap_rpt,0.2,0.5951013550185339,0.2834735729062937,0.5216995951997067,0.16989322081443575,0.0,0.0
ld3,sap_rpt,0.5,0.5585680227404425,0.26012033819180724,0.5345549505801799,0.17464590351095668,0.0,0.0
ld3,xgboost,0.0,0.6620319334395701,0.3435269897644452,0.49937407806594486,0.16233718478110573,0.016883290901782127,0.032686944678643234
